"filename", "language", "CSS", "JSON", "Dart", "Markdown", "YAML", "HTML", "C++", "Draw.io", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"j:\my_all_prog2\my_ecommerce\I10n.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"j:\my_all_prog2\my_ecommerce\README.md", "Markdown", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 57
"j:\my_all_prog2\my_ecommerce\analysis_options.yaml", "YAML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 24, 5, 43
"j:\my_all_prog2\my_ecommerce\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 6, 12, 66
"j:\my_all_prog2\my_ecommerce\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"j:\my_all_prog2\my_ecommerce\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 11, 1, 25
"j:\my_all_prog2\my_ecommerce\android\app\src\main\res\drawable-night-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"j:\my_all_prog2\my_ecommerce\android\app\src\main\res\drawable-night\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"j:\my_all_prog2\my_ecommerce\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"j:\my_all_prog2\my_ecommerce\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"j:\my_all_prog2\my_ecommerce\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 9, 0, 19
"j:\my_all_prog2\my_ecommerce\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 9, 0, 19
"j:\my_all_prog2\my_ecommerce\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"j:\my_all_prog2\my_ecommerce\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"j:\my_all_prog2\my_ecommerce\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"j:\my_all_prog2\my_ecommerce\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"j:\my_all_prog2\my_ecommerce\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"j:\my_all_prog2\my_ecommerce\flutter_native_splash.yaml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 56, 10, 71
"j:\my_all_prog2\my_ecommerce\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"j:\my_all_prog2\my_ecommerce\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"j:\my_all_prog2\my_ecommerce\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"j:\my_all_prog2\my_ecommerce\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"j:\my_all_prog2\my_ecommerce\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"j:\my_all_prog2\my_ecommerce\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"j:\my_all_prog2\my_ecommerce\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"j:\my_all_prog2\my_ecommerce\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"j:\my_all_prog2\my_ecommerce\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 0, 44
"j:\my_all_prog2\my_ecommerce\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"j:\my_all_prog2\my_ecommerce\ios\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 47
"j:\my_all_prog2\my_ecommerce\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"j:\my_all_prog2\my_ecommerce\lib\all_injection_containers.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 48
"j:\my_all_prog2\my_ecommerce\lib\core\boxes.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 12
"j:\my_all_prog2\my_ecommerce\lib\core\config\app_routing.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"j:\my_all_prog2\my_ecommerce\lib\core\config\firebase_init.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"j:\my_all_prog2\my_ecommerce\lib\core\config\hive_init.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"j:\my_all_prog2\my_ecommerce\lib\core\constants\constants.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 18
"j:\my_all_prog2\my_ecommerce\lib\core\constants\hive_constants.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"j:\my_all_prog2\my_ecommerce\lib\core\error\errors.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"j:\my_all_prog2\my_ecommerce\lib\core\error\exceptions.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"j:\my_all_prog2\my_ecommerce\lib\core\error\failure.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 46
